,question,label
0,It is the sum of the terms of Symbol(x) sequence,series_and_sequence
1,Find the sum of the first ten terms of the arithmetic sequence Integer((d)),series_and_sequence
2,Find the sum of the first Integer((d)) terms of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
3,The sum of the first Integer((d)) terms of an arithmetic sequence is Integer((d)) What is the first term if the last term is Integer((d)) and the common difference is Integer((d)),series_and_sequence
4,The third term of an arithmetic sequence is −(d) and the seventh term is Integer((d)) What is the sum of the first Integer((d)) terms,series_and_sequence
5,Find the sum of the first Integer((d)) terms of the arithmetic sequence if the first term is Integer((d)) and the twentieth term is Integer((d)),series_and_sequence
6,Find the sum of the first eighteen terms of the arithmetic sequence whose nth term is,series_and_sequence
7,The first term of an arithmetic sequence is Integer((d)) the last term is Integer((d)) and the sum is Integer((d)) Find the number of terms,series_and_sequence
8,If the first Symbol(x) terms of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) are added how many of these terms will be added to get Symbol(x) sum of Integer(-(d)),series_and_sequence
9,Symbol(x) yaya receives Symbol(x) starting annual salary of Php Integer((d)) with Symbol(x) yearly increase of Php Integer((d)) What is her total income for Integer((d)) years,series_and_sequence
10,Jane was saving for Symbol(x) pair of shoes From her weekly allowance she was able to save Php Integer((d)) on the first week Php Integer((d)) on the second Php Integer((d)) on the third week and so on If she continued saving in this pattern and made Integer((d)) deposits how much did Jane save,series_and_sequence
11,Mary gets Symbol(x) starting monthly salary of Php Integer((d)) and an increase of Php Integer((d)) annually How much income did she receive for the first three years,series_and_sequence
12,Mirasol saved Symbol(x) on the first day of January Symbol(x) on the second day Symbol(x) on the third day and so on up to the last day of the month How much did Mirasol save at the end of January,series_and_sequence
13,Mrs De la Cruz started her business with an income of Php Integer((d)) for the first year and an increase of Php Integer((d)) yearly How much is the total income of Mrs De la Cruz for Integer((d)) years since she started her business,series_and_sequence
14,Symbol(x) hall has Integer((d)) rows Each successive row contains one additional seat If the first row has Integer((d)) seats how many seats are in the hall,series_and_sequence
15,Find the sum of the first Integer((d)) natural numbers,series_and_sequence
16,Find the sum of all the terms of the sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) … Integer((d)),series_and_sequence
17,Find the sum −(d) −(d) Integer((d)) (d)… Integer((d)),series_and_sequence
18,Find the sum of the first Integer((d)) terms of the arithmetic sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) Integer((d)) …,series_and_sequence
19,If the first Symbol(x) terms of the sequence Integer((d)) Integer((d)) Integer((d)) Integer((d)) … are added how many terms give Symbol(x) sum of Integer((d)),series_and_sequence
20,Find the sum of the integers between Integer((d)) and Integer((d)) and are divisible by Integer((d)),series_and_sequence
