,pair1,pair2,corr_value
0,(l),(h),1.0
1,(polynomial),(binomial),1.0
2,(w),(h),1.0
3,(w),(l),1.0
4,add(mul(integer((d))pow(symbol(x)integer((d))))symbol(x)mul(integer(-(d))mul(integer((d))integer((d))pow(mul(integer((d))symbol(x))mul(integer((d))pow(integer((d))integer(-(d)))))))),add(mul(integer((d))pow(pow(symbol(x)integer((d)))integer(-(d))))pow(symbol(x)integer(-(d)))),1.0
5,add(mul(integer(-(d))integer((d))pow(integer((d))mul(integer((d))pow(integer((d))integer(-(d))))))integer((d))),add(integer((d))mul(integer((d))pow(integer((d))mul(integer((d))pow(integer((d))integer(-(d))))))),1.0
6,add(symbol(x)mul(integer(-(d))mul(integer((d))integer((d))symbol(x)))),add(mul(integer((d))symbol(x))mul(integer((d))symbol(x))),1.0
7,add(symbol(x)symbol(x)),add(mul(symbol(x)symbol(x))mul(symbol(x)symbol(x))),0.7067356938971815
8,advised,(d)m,1.0
9,allowance,able,0.8160676360171515
10,another,already,0.894239444363399
11,answered,answer,0.7067356938971817
12,any),(if,1.0
13,asked,answer,0.7067356938971817
14,asked,answered,1.0
15,ball,always,1.0
16,bamboo,amount,0.8943333765842448
17,bank,amount,0.8943333765842454
18,bank,bamboo,0.9999999999999997
19,box,(d)cm,0.7067356938971823
20,buy,blouse,0.8943333765842449
21,cardboard,box,0.7067356938971817
22,centimeter,add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))symbol(x))integer((d))),0.7067356938971816
23,centimeters,(d)cm,0.9999999999999999
24,centimeters,box,0.7067356938971818
25,chain,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
26,christmas,blouse,0.7067356938971815
27,christmas,bought,0.7067356938971813
28,christmas,buy,0.9485836621422364
29,classmate,answer,0.7067356938971817
30,classmate,answered,1.0
31,classmate,asked,1.0
32,classroom,bought,1.0
33,classroom,christmas,0.7067356938971813
34,closely,associated,0.7067356938971812
35,cm,base,0.7293749787792606
36,composed,add(integer((d))mul(integer(-(d))symbol(x))),1.0
37,consider,add(mul(symbol(x)symbol(x))pow(symbol(x)integer((d)))mul(integer(-(d))mul(integer((d))integer((d))pow(symbol(x)integer((d)))))mul(integer(-(d))integer((d)))),0.8160676360171514
38,constant,add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))mul(integer((d))integer((d))pow(symbol(x)integer((d)))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))symbol(x))mul(integer(-(d))integer((d)))),0.7067356938971819
39,construction,add(integer((d))mul(integer(-(d))symbol(x))),1.0
40,construction,composed,1.0
41,contains,add(integer((d))mul(integer(-(d))symbol(x))),0.8163539745205176
42,contains,composed,0.8163539745205176
43,contains,construction,0.8163539745205176
44,continue,(d)m,1.0
45,continue,advised,1.0
46,continued,able,0.8160676360171515
47,continued,allowance,1.0
48,corner,box,0.7067356938971817
49,corner,cardboard,1.0
50,correct,answered,0.7067356938971815
51,correct,asked,0.7067356938971815
52,correct,classmate,0.7067356938971815
53,costs,blouse,1.0
54,costs,buy,0.8943333765842449
55,costs,christmas,0.7067356938971815
56,crew,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
57,crew,chain,1.0
58,cruz,business,1.0
59,cubes,add(pow(symbol(x)integer((d)))integer((d))),0.7067356938971816
60,daily,(d)m,1.0
61,daily,advised,1.0
62,daily,continue,1.0
63,de,business,1.0
64,de,cruz,1.0
65,december,blouse,1.0
66,december,buy,0.8943333765842449
67,december,christmas,0.7067356938971815
68,december,costs,1.0
69,decimal,answer,0.7067356938971817
70,deposits,able,0.8160676360171515
71,deposits,allowance,1.0
72,deposits,continued,1.0
73,describe,correctly,0.7059905898337131
74,describes,add(pow(symbol(x)integer((d)))pow(symbol(x)integer((d)))mul(integer((d))pow(integer((d))integer(-(d)))symbol(x))integer((d))),0.7067356938971819
75,description,correct,0.7067356938971818
76,dimension,(d)cm,0.8163539745205187
77,dimension,centimeters,0.816353974520518
78,dimensions,(d)cm,0.7069221412446146
79,dimensions,box,0.7494090095234381
80,dimensions,centimeters,0.7069221412446143
81,dimesnions,appropriate,1.0
82,dish,bacteria,1.0
83,distance,covered,0.8655699604693292
84,div,add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))integer((d)))),0.7067356938971813
85,division,(if,0.8670422783996912
86,division,any),0.8670422783996912
87,doubled,blouse,1.0
88,doubled,buy,0.8943333765842449
89,doubled,christmas,0.7067356938971815
90,doubled,costs,1.0
91,doubled,december,1.0
92,doubles,amount,0.8943333765842448
93,doubles,bamboo,1.0
94,doubles,bank,0.9999999999999997
95,dropped,covered,0.8160676360171513
96,dropped,distance,0.7063636314476659
97,earn,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
98,earn,chain,1.0
99,earn,crew,1.0
100,earns,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
101,earns,chain,1.0
102,earns,crew,1.0
103,earns,earn,1.0
104,easily,applying,1.0
105,enlarged,(d)cm,0.9999999999999999
106,enlarged,box,0.7067356938971818
107,enlarged,centimeters,1.0
108,enlarged,dimension,0.816353974520518
109,enlarged,dimensions,0.7069221412446143
110,er,det,1.0
111,evaluate,add(pow(symbol(x)integer((d)))pow(symbol(x)integer((d)))symbol(x)integer((d))),0.8160676360171514
112,exercise,(d)m,1.0
113,exercise,advised,1.0
114,exercise,continue,1.0
115,exercise,daily,1.0
116,expression,(binomial),0.838827969407006
117,expression,(polynomial),0.838827969407006
118,expressions,cube,0.7067356938971816
119,expressions,expressed,0.7067356938971817
120,factoring,cubes,0.8943333765842448
121,fall,diver,1.0
122,fallen,covered,0.8160676360171513
123,fallen,distance,0.7063636314476659
124,fallen,dropped,1.0
125,falls,covered,0.8160676360171513
126,falls,distance,0.7063636314476659
127,falls,dropped,1.0
128,falls,fallen,1.0
129,far,dropped,0.8160676360171518
130,far,fallen,0.8160676360171518
131,far,falls,0.8160676360171518
132,farmers,enclose,1.0
133,field,begins,1.0
134,fifth,always,1.0
135,fifth,ball,1.0
136,final,answer,0.7067356938971817
137,final,decimal,1.0
138,finding,easier,0.7069221412446146
139,fits,blank,1.0
140,form,factored,0.7033515407180875
141,friedrich,add(integer((d))mul(integer(-(d))integer((d)))),0.7067356938971818
142,ft,already,1.0
143,ft,another,0.894239444363399
144,fun,amount,0.8943333765842448
145,fun,bamboo,1.0
146,fun,bank,0.9999999999999997
147,fun,doubles,1.0
148,function,f(x),0.8706971863189248
149,g(x),add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))pow(symbol(x)integer((d))))integer((d))),0.8655699604693298
150,game,cups,1.0
151,garden,enclose,1.0000000000000004
152,garden,farmers,1.0000000000000004
153,gauss,add(integer((d))mul(integer(-(d))integer((d)))),0.7067356938971818
154,gauss,friedrich,1.0
155,gets,annually,1.0
156,ground,already,0.9426990369280182
157,ground,another,0.842776472242236
158,ground,ft,0.9426990369280182
159,group,belong,1.0
160,growth,bacteria,1.0
161,growth,dish,1.0
162,h(x),add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))mul(integer((d))integer((d))pow(symbol(x)integer((d)))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))integer((d)))),0.7067356938971818
163,hall,additional,1.0
164,height,(h),0.7687194760502848
165,height,(l),0.7687194760502848
166,height,(w),0.7687194760502848
167,high,building,1.0
168,highest,exponent,1.0
169,homework,adds,1.0
170,hour,add(symbol(x)mul(integer(-(d))symbol(x))),0.7067356938971813
171,hour,chain,0.7067356938971813
172,hour,crew,0.7067356938971813
173,hour,earn,0.7067356938971813
174,hour,earns,0.7067356938971813
175,hours,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
176,hours,chain,1.0
177,hours,crew,1.0
178,hours,earn,1.0
179,hours,earns,1.0
180,hours,hour,0.7067356938971813
181,impasugong,enclose,1.0
182,impasugong,farmers,1.0
183,impasugong,garden,1.0000000000000004
184,income,business,0.8162114466032563
185,income,cruz,0.8162114466032563
186,income,de,0.8162114466032563
187,increase,income,0.9424777082238838
188,increased,(d)cm,0.9999999999999999
189,increased,box,0.7067356938971818
190,increased,centimeters,1.0
191,increased,dimension,0.816353974520518
192,increased,dimensions,0.7069221412446143
193,increased,enlarged,1.0
194,inequality,belong,1.0
195,inequality,group,1.0
196,infinity,indicates,1.0
197,inside,amount,0.8943333765842448
198,inside,bamboo,1.0
199,inside,bank,0.9999999999999997
200,inside,doubles,1.0
201,inside,fun,1.0
202,introduced,count,1.0
203,jane,able,0.8160676360171515
204,jane,allowance,1.0
205,jane,continued,1.0
206,jane,deposits,1.0
207,january,day,0.7691034070670055
208,job,accepted,1.0
209,joey,amount,0.8943333765842448
210,joey,bamboo,1.0
211,joey,bank,0.9999999999999997
212,joey,doubles,1.0
213,joey,fun,1.0
214,joey,inside,1.0
215,jose,begins,1.0
216,jose,field,1.0
217,jump,diver,1.0
218,jump,fall,1.0
219,jumped,diver,1.0
220,jumped,fall,1.0
221,jumped,jump,1.0
222,jumps,diver,1.0
223,jumps,fall,1.0
224,jumps,jump,1.0
225,jumps,jumped,1.0
226,karl,add(integer((d))mul(integer(-(d))integer((d)))),0.7067356938971818
227,karl,friedrich,1.0
228,karl,gauss,1.0
